code,prefecture,prefecture_kana,municipality,municipality_kana
010006,北海道,ﾎｯｶｲﾄﾞｳ,,
011002,北海道,ﾎｯｶｲﾄﾞｳ,札幌市,ｻｯﾎﾟﾛｼ
012025,北海道,ﾎｯｶｲﾄﾞｳ,函館市,ﾊｺﾀﾞﾃｼ
012033,北海道,ﾎｯｶｲﾄﾞｳ,小樽市,ｵﾀﾙｼ
012041,北海道,ﾎｯｶｲﾄﾞｳ,旭川市,ｱｻﾋｶﾜｼ
012050,北海道,ﾎｯｶｲﾄﾞｳ,室蘭市,ﾑﾛﾗﾝｼ
012068,北海道,ﾎｯｶｲﾄﾞｳ,釧路市,ｸｼﾛｼ
012076,北海道,ﾎｯｶｲﾄﾞｳ,帯広市,ｵﾋﾞﾋﾛｼ
012084,北海道,ﾎｯｶｲﾄﾞｳ,北見市,ｷﾀﾐｼ
012092,北海道,ﾎｯｶｲﾄﾞｳ,夕張市,ﾕｳﾊﾞﾘｼ
012106,北海道,ﾎｯｶｲﾄﾞｳ,岩見沢市,ｲﾜﾐｻﾞﾜｼ
012114,北海道,ﾎｯｶｲﾄﾞｳ,網走市,ｱﾊﾞｼﾘｼ
012122,北海道,ﾎｯｶｲﾄﾞｳ,留萌市,ﾙﾓｲｼ
012131,北海道,ﾎｯｶｲﾄﾞｳ,苫小牧市,ﾄﾏｺﾏｲｼ
012149,北海道,ﾎｯｶｲﾄﾞｳ,稚内市,ﾜｯｶﾅｲｼ
012157,北海道,ﾎｯｶｲﾄﾞｳ,美唄市,ﾋﾞﾊﾞｲｼ
012165,北海道,ﾎｯｶｲﾄﾞｳ,芦別市,ｱｼﾍﾞﾂｼ
012173,北海道,ﾎｯｶｲﾄﾞｳ,江別市,ｴﾍﾞﾂｼ
012181,北海道,ﾎｯｶｲﾄﾞｳ,赤平市,ｱｶﾋﾞﾗｼ
012190,北海道,ﾎｯｶｲﾄﾞｳ,紋別市,ﾓﾝﾍﾞﾂｼ
012203,北海道,ﾎｯｶｲﾄﾞｳ,士別市,ｼﾍﾞﾂｼ
012211,北海道,ﾎｯｶｲﾄﾞｳ,名寄市,ﾅﾖﾛｼ
012220,北海道,ﾎｯｶｲﾄﾞｳ,三笠市,ﾐｶｻｼ
012238,北海道,ﾎｯｶｲﾄﾞｳ,根室市,ﾈﾑﾛｼ
012246,北海道,ﾎｯｶｲﾄﾞｳ,千歳市,ﾁﾄｾｼ
012254,北海道,ﾎｯｶｲﾄﾞｳ,滝川市,ﾀｷｶﾜｼ
012262,北海道,ﾎｯｶｲﾄﾞｳ,砂川市,ｽﾅｶﾞﾜｼ
012271,北海道,ﾎｯｶｲﾄﾞｳ,歌志内市,ｳﾀｼﾅｲｼ
012289,北海道,ﾎｯｶｲﾄﾞｳ,深川市,ﾌｶｶﾞﾜｼ
012297,北海道,ﾎｯｶｲﾄﾞｳ,富良野市,ﾌﾗﾉｼ
012301,北海道,ﾎｯｶｲﾄﾞｳ,登別市,ﾉﾎﾞﾘﾍﾞﾂｼ
012319,北海道,ﾎｯｶｲﾄﾞｳ,恵庭市,ｴﾆﾜｼ
012335,北海道,ﾎｯｶｲﾄﾞｳ,伊達市,ﾀﾞﾃｼ
012343,北海道,ﾎｯｶｲﾄﾞｳ,北広島市,ｷﾀﾋﾛｼﾏｼ
012351,北海道,ﾎｯｶｲﾄﾞｳ,石狩市,ｲｼｶﾘｼ
012360,北海道,ﾎｯｶｲﾄﾞｳ,北斗市,ﾎｸﾄｼ
013030,北海道,ﾎｯｶｲﾄﾞｳ,当別町,ﾄｳﾍﾞﾂﾁｮｳ
013048,北海道,ﾎｯｶｲﾄﾞｳ,新篠津村,ｼﾝｼﾉﾂﾑﾗ
013315,北海道,ﾎｯｶｲﾄﾞｳ,松前町,ﾏﾂﾏｴﾁｮｳ
013323,北海道,ﾎｯｶｲﾄﾞｳ,福島町,ﾌｸｼﾏﾁｮｳ
013331,北海道,ﾎｯｶｲﾄﾞｳ,知内町,ｼﾘｳﾁﾁｮｳ
013340,北海道,ﾎｯｶｲﾄﾞｳ,木古内町,ｷｺﾅｲﾁｮｳ
013374,北海道,ﾎｯｶｲﾄﾞｳ,七飯町,ﾅﾅｴﾁｮｳ
013439,北海道,ﾎｯｶｲﾄﾞｳ,鹿部町,ｼｶﾍﾞﾁｮｳ
013455,北海道,ﾎｯｶｲﾄﾞｳ,森町,ﾓﾘﾏﾁ
013463,北海道,ﾎｯｶｲﾄﾞｳ,八雲町,ﾔｸﾓﾁｮｳ
013471,北海道,ﾎｯｶｲﾄﾞｳ,長万部町,ｵｼｬﾏﾝﾍﾞﾁｮｳ
013617,北海道,ﾎｯｶｲﾄﾞｳ,江差町,ｴｻｼﾁｮｳ
013625,北海道,ﾎｯｶｲﾄﾞｳ,上ノ国町,ｶﾐﾉｸﾆﾁｮｳ
013633,北海道,ﾎｯｶｲﾄﾞｳ,厚沢部町,ｱｯｻﾌﾞﾁｮｳ
013641,北海道,ﾎｯｶｲﾄﾞｳ,乙部町,ｵﾄﾍﾞﾁｮｳ
013676,北海道,ﾎｯｶｲﾄﾞｳ,奥尻町,ｵｸｼﾘﾁｮｳ
013706,北海道,ﾎｯｶｲﾄﾞｳ,今金町,ｲﾏｶﾈﾁｮｳ
013714,北海道,ﾎｯｶｲﾄﾞｳ,せたな町,ｾﾀﾅﾁｮｳ
013919,北海道,ﾎｯｶｲﾄﾞｳ,島牧村,ｼﾏﾏｷﾑﾗ
013927,北海道,ﾎｯｶｲﾄﾞｳ,寿都町,ｽｯﾂﾁｮｳ
013935,北海道,ﾎｯｶｲﾄﾞｳ,黒松内町,ｸﾛﾏﾂﾅｲﾁｮｳ
013943,北海道,ﾎｯｶｲﾄﾞｳ,蘭越町,ﾗﾝｺｼﾁｮｳ
013951,北海道,ﾎｯｶｲﾄﾞｳ,ニセコ町,ﾆｾｺﾁｮｳ
013960,北海道,ﾎｯｶｲﾄﾞｳ,真狩村,ﾏｯｶﾘﾑﾗ
013978,北海道,ﾎｯｶｲﾄﾞｳ,留寿都村,ﾙｽﾂﾑﾗ
013986,北海道,ﾎｯｶｲﾄﾞｳ,喜茂別町,ｷﾓﾍﾞﾂﾁｮｳ
013994,北海道,ﾎｯｶｲﾄﾞｳ,京極町,ｷｮｳｺﾞｸﾁｮｳ
